,ID,Subtitle,Title,subs_without_stopwords
0,-cuVTq76PIk,aloha tony balonovich here people call me the king of cold cuts the sandwich business has been real good to me of course it's not that tough just take some bargain bread slap on a little not quite meat get yourself a catchy jingle what do you got boom sandwich pool but now i got this jimmy's john showing up on my turf telling me that they got the sandwich of all sandwiches this tryhard's fresh baked their bread all day i'm jimmy's john's and i have high quality reasonably priced sandwiches customizable for your busy modern life do you think i'm gonna let some two first name sandwich joint steal my throat you may got fresh tomatoes jimmy's johns but i got loyalty stevie you're dead to me this is war sandwich war   tony balonovich here people call me the king of cold cuts the sandwich business has been real good to me but now i got this jimmy's john showing up on my turf i'm jimmy's john's and i have high quality reasonably priced sandwiches big deal you got all natural meat sliced by hand i got turkey and ham made by science i'm good i'm coming for you jimmy's judge this is war so much war,Jimmy John's Super Bowl Commercial 2021 Brad Garrett Meet the King,aloha tony balonovich people call king cold cuts sandwich business real good course ' tough take bargain bread slap little quite meat get catchy jingle got boom sandwich pool got jimmy' john showing turf telling got sandwich sandwiches tryhard' fresh baked bread day ' jimmy' john' high quality reasonably priced sandwiches customizable busy modern life think ' gonna let two first name sandwich joint steal throat may got fresh tomatoes jimmy' johns got loyalty stevie ' dead war sandwich war tony balonovich people call king cold cuts sandwich business real good got jimmy' john showing turf ' jimmy' john' high quality reasonably priced sandwiches big deal got natural meat sliced hand got turkey ham made science ' good ' coming jimmy' judge war much war
1,-W2v4phkLUo,foreign   tic edelman's struggling with reception two things I hate dropping balls and calls well you need a better Network time to switch to Verizon the most reliable 5G Network in America I'm listening you even get a free 5G phone on them sweet so now whether you're in the city or on the road reception and getting the network you want and a brand new phone touchdown go switch now and get the new Google pixel 7 Pro on us only on the network America relies on Verizon Verizon has aired its new and funny commercial featuring Julian Edelman and Cecily Strong Cecily Strong says Julian Edelman needs better Network time to switch to Verizon the most reliable 5G Network in America Verizon got the reception King back on the football field to catch balls and calls Cecily throws the ball and Julian Edelman catch it and the touchdown if you haven't already subscribed to our Channel hit the like button turn on notifications so you will be notified whenever we uploaded a new video             thank you,"Verizon Commercial Commercial 2022 Julian Edelman, Cecily Strong Ad Review",foreign tic edelman' struggling reception two things I hate dropping balls calls well need better Network time switch Verizon reliable 5G Network America I' listening even get free 5G phone sweet whether ' city road reception getting network want brand new phone touchdown go switch get new Google pixel 7 Pro us network America relies Verizon Verizon aired new funny commercial featuring Julian Edelman Cecily Strong Cecily Strong says Julian Edelman needs better Network time switch Verizon reliable 5G Network America Verizon got reception King back football field catch balls calls Cecily throws ball Julian Edelman catch touchdown ' already subscribed Channel hit like button turn notifications notified whenever uploaded new video thank 
2,0afFKHWn9wQ,    no matter me or you I am you didn't save me some of those chips can I believe you two patients we forgot the dip use it before you lose it fool those clothes from the Church of Jesus Christ of Latter day Saints,Potato Chip Trail, matter I ' save chips I believe two patients forgot dip use lose fool clothes Church Jesus Christ Latter day Saints
3,0Zn3doW8qwI,chanted to chant into tan - 10 10 - the chance at a chance at Santana trijet Planet Fitness through the use of motivating montage music has made it easy to join just remember 10 10 10 for 10 days sign up for $10 and pay just 10 bucks a month after that hurry you only have until November 10th to take advantage of this Planet Fitness often Planet Fitness on 42nd Street next to Shopko,Planet Fitness Radio Spot,chanted chant tan - 10 10 - chance chance Santana trijet Planet Fitness use motivating montage music made easy join remember 10 10 10 10 days sign $10 pay 10 bucks month hurry November 10th take advantage Planet Fitness often Planet Fitness 42nd Street next Shopko
4,12sQyiGLc0k,  foreign   what's that noise Devonte got a tuba we all know it's a problem but no one wants to talk about it yep you gotta do something about all those Alabama players in the house it's the elephant in the room exactly and it's really uncomfortable no literally the elephant is in the room you should come home Nissan has aired its new commercial featuring Barry Sanders Baker Mayfield Derrick Henry Bryce young Devonta Smith calling Carolina Panthers quarterback Baker Mayfield from the comfort of his Nissan Pathfinder former professional football player Barry Sanders asks the younger man if they're still added back at the Heisman house Baker can only offer a disgruntled affirmative as he watches Derrick Henry Bryce young and Devonta Smith practicing cheerleader formations outside his window Devonta got a tuba he tacks on Langley when the brass instrument begins to bleed through the call Barry decides that they've got to do something about the elephant in the room too many Alabama players are in the house literally Baker agrees awkwardly avoiding eye contact with the University of Alabama mascot and elephant Big Al the elephant is in the room if you haven't already subscribed to our Channel hit the like button turn on notifications so you will be notified whenever we uploaded a new video            ,"Nissan Commercial 2022 Barry Sanders, Baker Mayfield Elephant in the Room Ad Review", foreign ' noise Devonte got tuba know ' problem one wants talk yep gotta something Alabama players house ' elephant room exactly ' really uncomfortable literally elephant room come home Nissan aired new commercial featuring Barry Sanders Baker Mayfield Derrick Henry Bryce young Devonta Smith calling Carolina Panthers quarterback Baker Mayfield comfort Nissan Pathfinder former professional football player Barry Sanders asks younger man ' still added back Heisman house Baker offer disgruntled affirmative watches Derrick Henry Bryce young Devonta Smith practicing cheerleader formations outside window Devonta got tuba tacks Langley brass instrument begins bleed call Barry decides ' got something elephant room many Alabama players house literally Baker agrees awkwardly avoiding eye contact University Alabama mascot elephant Big Al elephant room ' already subscribed Channel hit like button turn notifications notified whenever uploaded new video 
5,1UV3ZF8OvOA,then Jeffrey pass the ball to Christian squirts gold that's good I've got my report back no the one I did on geology I got a b-plus c-plus that's not too bad Steve wanted to go skateboarding after school but mom said I had to watch over him out while she was at the store who's gonna be to do that for her the band assemblies on Thursday mr. Samuel says they're sounding really good no kidding I saw this new skateboard dad it's so cool I think I'm gonna get it with my birthday money a lot of they all right hey John you know one of these new vinyl fences wouldn't have to paint it yeah but Bob this gives Jimmy and I chance to talk   Oh when you really listen love is what they'll hear from the Church of Jesus Christ of latter-day saints,The Fence, Jeffrey pass ball Christian squirts gold ' good I' got report back one I geology I got b-plus c-plus ' bad Steve wanted go skateboarding school mom said I watch store ' gonna band assemblies Thursday mr. Samuel says ' sounding really good kidding I saw new skateboard dad ' cool I think I' gonna get birthday money lot right hey John know one new vinyl fences ' paint yeah Bob gives Jimmy I chance talk Oh really listen love ' hear Church Jesus Christ latter-day saints
6,1yCeXm6VtgA,okay Bradley tell the class about your holidays yeah kitchen it's got wooden bench tops and some stupid and self closing drawers there was a dishwasher that was a real nice breakfast book get a kitchen installed without teaching your kids new words visit IKEA Andre you we can plan deliver and install the whole thing for you,"Ikea ""Get a ******* Kitchen Installed"" Radio - AdNews",okay Bradley tell class holidays yeah kitchen ' got wooden bench tops stupid self closing drawers dishwasher real nice breakfast book get kitchen installed without teaching kids new words visit IKEA Andre plan deliver install whole thing 
7,2AUbG7FgPSg,the hoop belongs to me I've been watching Michael on my life this it's all about the game he's got focused he makes the big plays     family isn't it about time from the Church of Jesus Christ of Latter day Saints,Born to Play the Game, hoop belongs I' watching Michael life ' game ' got focused makes big plays family ' time Church Jesus Christ Latter day Saints
8,2T6MmAa3OhQ,guess what I'm getting an A in chemistry I'm sure glad my boys take after their mother your Uncle Frank is talking about selling off those 40 acres remember that she has we thought that it was a beauty I hear coach Larson is retiring yeah and he was always good did I tell you Jason finally got a car oh the straights will never be safe again you got that right paper says your team's playing pretty well yeah five in a row maybe they'll make the playoffs and that'd be nice well none of that ready for some dinner we'll go inside so mom can have a say smells like apple pie it's just the way you like it - we'll save your juice or not listen to them I'll make it no matter what you talk about love is what they'll hear from the Church of Jesus Christ of latter-day saints you,Truck Talk,guess I' getting A chemistry I' sure glad boys take mother Uncle Frank talking selling 40 acres remember thought beauty I hear coach Larson retiring yeah always good I tell Jason finally got car oh straights never safe got right paper says team' playing pretty well yeah five row maybe ' make playoffs ' nice well none ready dinner ' go inside mom say smells like apple pie ' way like - ' save juice listen I' make matter talk love ' hear Church Jesus Christ latter-day saints 
9,2tV1maIR1jo,you're at a restaurant just after a meal the bill comes sir here's your bill oh my gosh it's a whopping amount you pass it on to the next person hey he passes it on and on why nobody likes unpleasant surprises well why should you with the new huts delight meals you won't get any surprises in your bill just pure value enjoy your favorites every day from pizzas pastures to sides and drinks from as low as 14 it purpose available for dine in only you,Pizza Hut Radio Ad,' restaurant meal bill comes sir ' bill oh gosh ' whopping amount pass next person hey passes nobody likes unpleasant surprises well new huts delight meals ' get surprises bill pure value enjoy favorites every day pizzas pastures sides drinks low 14 purpose available dine 
